ΚΑ,,,,,,,,,
Task Name,Quantity for 1,Brand,Comment,Quantity for 10,Link,Stock,Buy,Ημερομηνία απογραφής,
Ρελέ Διαρροής 40Α και 30mA (Αντιηλεκτροπληξιακος),1,legrand,,10,,60,,12/2/25,
Γέφυρα Φάσης 1P 12Χ10mm² 63A (30cm),30cm,ABB,,3m,https://www.kafkas.gr/ilektrologiko-yliko/iliko-ragas/exartimata/exartimata-mikroaftomaton/abb-gefyra-fasis-1p-12ch10mm-63a_200755/,58,,12/2/25,
,,,,,,,,,
Τερματίκες κλέμμες ράγας,5,Siemens,,50,https://www.kafkas.gr/viomichaniko-yliko/yliko-chamilis-tasis/viomich-revmatodotes-revmatoliptes/viomichanika-fis-proektasis/siemens-stiriktiko-klemma-ragas_153305/,-,,25/08/25,
Ρελε ισχυος,4,FINDER,,40,https://e-damianakis.gr/ilektrologiko-yliko/mini/rele-finder-12v-dc-16a-me-1-metagogiki-epafi-ilektromagnitiko-f40.61.9.012-clone-clone.html,60,,27/11/25,
Βαση ρελε Ισχυος,4,FINDER,,40,https://e-damianakis.gr/ilektrologiko-yliko/mini/finder-basi-ragas-gia-rele-mini-95.75.html,50,,27/11/25,
MEANWELL τροφοδοτικα 350-5,,MEANWELL,,,,47,,24/11/25,
MEANWELL τροφοδοτικα 500-5,,MEANWELL,,,,6,,7/11/25,
MEANWELL τροφοδοτικα 200-12,,MEANWELL,,,,34,,24/11/25,
MEANWELL τροφοδοτικα 350-12,,MEANWELL,,,,32,,24/11/25,
,,,,,,,,,
,,,,,,,,,
Τροφοδοτικο 12v 400w ,,,,,https://www.pinakides-led.gr/shop/%CF%85%CE%BB%CE%B9%CE%BA%CE%AC-%CE%B5%CE%BE%CE%B1%CF%81%CF%84%CE%AE%CE%BC%CE%B1%CF%84%CE%B1-%CE%B5%CF%80%CE%B9%CE%B3%CF%81%CE%B1%CF%86%CF%8E%CE%BD-led/%CF%84%CF%81%CE%BF%CF%86%CE%BF%CE%B4%CE%BF%CF%84%CE%B9%CE%BA%CF%8C-led-200w-5v-30a-detail,20,,25/08/25,
Τροφοδοτικο 12v 600w,,Globostar,,,https://www.ledking.gr/products/trofodotika-led/trofodotika-led-5-volt/2468-globostar-reg-77468-metalliko-trofodotiko-pelv-gia-proionta-led-200w-40a-ac-220-240v-se-dc-5v-ip20-l20-5-x-w10-5-x-h5cm-3-years-warranty,1,,25/08/25,
Τροφοδοτικο 12v 200w ,1,Globostar,,10,https://www.ledking.gr/products/trofodotika-led/trofodotika-led-5-volt/2469-globostar-reg-77469-metalliko-trofodotiko-pelv-gia-proionta-led-350w-70a-ac-220-240v-se-dc-5v-ip20-l21-x-w10-5-x-h5cm-3-years-warranty,3,,25/08/25,
Τροφοδοτικο 5v 350w ,,Globostar,,,https://www.ledking.gr/products/trofodotika-led/trofodotika-led-12-volt/2467-globostar-reg-77467-metalliko-trofodotiko-pelv-gia-proionta-led-500w-41-6a-ac-220-240v-se-dc-12v-ip20-l22-5-x-w12-5-x-h6-5cm-3-years-warranty,4,,25/08/25,
Τροφοδοτικο 5V 200w ,,Amazon,,https://www.kafkas.gr/ilektrologiko-yliko/iliko-ragas/prostasia/diacoptes-diarrois/diacoptes-diarrois-2ch40a/legrand-diakoptis-diarrois-2p-40a-0-03a-ac_144973/,https://www.amazon.de/OYY-Switching-Power-Supply-Transformers/dp/B077BY62F4/ref=sr_1_4_sspa?crid=1G0SHKA0S1Q44&keywords=netzteil%2B12v%2B400w&qid=1679038766&sprefix=power%2Bsupply%2B12v%2B400w%2Caps%2C146&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,2,,25/08/25,
,,,,,,,,,
,,,,,,,,,
Γέφυρα Φάσης 3P 12Χ10mm² 63A (30cm),,,,,,10,,25/08/25,
Μικροαυτόματος  10 A,,NOAK,,,,4,,7/11/25,
Μικροαυτόματος  10 A,,ABB,,,https://www.kafkas.gr/ilektrologika/iliko-ragas/prostasia/mikroaftomatoi-asfaleia-asfalia-asfaleia-microaftomatos/microaftomatoi-10a-16a/legrand-mikroaftomatos-1p-10a-6ka-230v-typou-c_144580/,4,,25/08/25,
Μικροαυτόματος  20 A,,ABB,,,,13,,25/08/25,77468
Μικροαυτόματος  16 A,,ABB,,,,1,,7/11/25,73022/7469
Μικροαυτόματος  K20 A,,ABB,,,https://www.kafkas.gr/ilektrologika/iliko-ragas/prostasia/mikroaftomatoi-asfaleia-asfalia-asfaleia-microaftomatos/microaftomatoi-10a-16a/legrand-mikroaftomatos-1p-10a-6ka-230v-typou-c_144580/,1,,7/11/25,77467
Μικροαυτόματος  100 A,,ABB,,,,1,,7/11/25,
