z,,,,,,,,,,,,Απογράφων/ ουσα/ οντες,,,,
Item #,Description / Value,Link,Distributor,ΤΟΠΟΘΕΣΙΑ,Για Παραγγελια,stock,,,,29/09/2025 Γρηγορης & Βετερανος,,,,,,
27,warm white led strip 5m,https://www.tme.eu/gr/details/ls-5050ww60rn-2/peges-photos-tainies-led/luckylight/,TME,ΑΠΟΘΗΚΗ,,209,22/12/25,https://www.tme.eu/gr/details/15edgk3.81-04p/rages-susphixes-apospomenes/degson-electronics/15edgk-3-81-04p-14-00a-h/?brutto=1&currency=EUR&utm_source=google&utm_medium=cpc&utm_campaign=GRECJA%20%5BPLA%5D%20CSS&gad_source=1&gad_campaignid=15211696475&gbraid=0AAAAADyylhK9Xk9Ma059Kp0k4M0vXm04t&gclid=CjwKCAjwiNXFBhBKEiwAPSaPCe4jUh6Ms78carovNbaIpMcTD2-DYLD1xYeCnSmC92IwCM3y6XwQhBoCB94QAvD_BwE,,,,,,,,
28,Κλεμμες ταχειας ΠΕΝΤΑΠΛΕΣ Wago,,,ΑΠΟΘΗΚΗ,,7,22/12/2025,,,,,,,,,
29,Κλεμμες ταχειας μονες Wago,,,ΑΠΟΘΗΚΗ,-,0,22/12/2025,,,,,,,,,
30,Κλεμμες ταχειας διπλες Wago,https://www.tme.eu/de/details/221-2411/schnell-anschlusse/wago/,ΤΜΕ,ΑΠΟΘΗΚΗ,-,20,22/12/2025,,,,,,,,,
31,Κλεμμες ταχειας τριπλες Wago,https://www.tme.eu/de/details/221-613/schnell-anschlusse/wago/,ΤΜΕ,ΑΠΟΘΗΚΗ,-,9,22/12/2025,,,,,,,,,
32,"Καλωδιο Bitner 0,5mm ","https://www.tme.eu/gr/en/katalog/cables_38/?params=2:878;663:1451003;669:1450989;3384:1875864,1875865&queryPhrase=lapp",TME,,,αναλυτικα χρωματα πιο κατω,,,,,,,,,,
33,Καλωδια κατασκευων Black,"https://www.tme.eu/gr/en/katalog/cables_38/?params=2:878;663:1451003;669:1450989;3384:1875864,1875865&queryPhrase=lapp",TME,ΑΠΟΘΗΚΗ,,10,22/12/2025,,,,,,,,,
34,Καλωδια κατασκευων Red,,TME,ΑΠΟΘΗΚΗ,,6,22/12/2025,,,,,,,,,
35,Καλωδια Κατασκευων YEllow,,TME,ΑΠΟΘΗΚΗ,,10,22/12/2025,,,,,,,,,
36,Female Spade connector μικρα ΑΥΤΑ ΠΑΙΡΝΩ ,https://www.tme.eu/gr/en/details/st-001_2/non-insulated-terminals/ninigi/,TME,ΕΞΩ Β,-,1100,22/12/25,,,,,,,,,
37,Push Sensor(Mid Earth),https://www.tme.eu/gr/details/df-dfr0030/aistheteres-upoloipoi/dfrobot/dfr0030/,TME,,,72,24/11/25,,,,,,,,,
38,ΜΙΚΡΟΦΩΝΑ ΔΩΜΑΤΙΩΝ,https://www.hellasdigital.gr/surveillance-el/accessory-el/microphone-el/mic-hi-sensitivity/,HELLAS DIGITAL,ΕΞΩ Α,,0,22/12/25,,,,,,,,,
39,Microphone Sensor-Sound Detection Module Arduino,https://www.hellasdigital.gr/electronics/sensors/sound-sensors/microphone-sensor-avr-pic-high-sensitivity-sound-detection-module-for-arduino/?sl=en,HELLAS DIGITAL,,,17,24/11/25,,,,,,,,,
40,Photoresistor,https://www.amazon.de/-/en/gp/product/B07P5Z2XD4/ref=sw_img_1?smid=A3F8F97TMOROPI&psc=1,AMAZON.DE,ΓΡΑΦΕΙΟ,-,285,24/11/25,,,,,,,,,
41,Ηχειο Καρεκλα Hostel,,,,,3,7/11/25,,,,,,,,,
42,Cat7 clips,,AMAZON.DE,ΕΞΩ Α,-,0,22/12/25,,,,,,,,,
43,cat6 clips,,,ΑΠΟΘΗΚΗ,-,17500,24/11/25,,,,,,,,,
44,Red spot 12v for Buffet(Dracula),https://www.amazon.de/-/en/Spotlight-Floodlight-Landscape-Decoration-Lighting/dp/B08SJ8S54X/ref=sr_1_57?crid=246DV1J1A3PKM&keywords=roter%2Bspot%2B12v&qid=1683017179&sprefix=red%2Bspot%2B12v%2Caps%2C130&sr=8-57&th=1,AMAZON.DE,,,9,24/11/25,,,,,,,,,
45,βασεις για spot Dracula,,,,,9,12/2/25,,,,,,,,,
46,Coupler cat 6,https://www.tme.eu/gr/details/log-np0025/busmata-rj/logilink/np0025/,AMAZON.DE,,-,30,24/11/25,,,,,,,,,
47,Pad 12V,https://www.amazon.de/-/en/Access-Control-System-Keyfobs-Electric/dp/B07PDFQQFD/ref=sr_1_6?crid=1GXQFYVTV1WD5&keywords=12v+pad+access&qid=1682324532&sprefix=12v+pad+access+%2Caps%2C149&sr=8-6,AMAZON.DE,ΓΡΑΦΕΙΟ,-,100,24/11/25,,,,,,,,,
48,Ανταλλακτικα ετικετογραφου,https://www.skroutz.gr/s/22732082/Brother-TZE-221-%CE%A4%CE%B1%CE%B9%CE%BD%CE%AF%CE%B1-%CE%95%CF%84%CE%B9%CE%BA%CE%B5%CF%84%CE%BF%CE%B3%CF%81%CE%AC%CF%86%CE%BF%CF%85-8m-x-9mm-%CF%83%CE%B5-%CE%9B%CE%B5%CF%85%CE%BA%CF%8C-%CE%A7%CF%81%CF%8E%CE%BC%CE%B1.html,SKROUTZ,ΑΠΟΘΗΚΗ,-,30,24/11/25,https://www.abctoner.gr/brother-tze221-tze-tz-221?search=tze221&description=true,,,,,,,,
49,Addressable Ledstrip,,,,-,240,22/12/2025,,,,,,,,,
50,καλαι κολλησης 1mm,,MOUTSIOYLIS,ΕΞΩ Α,-,11,22/12/25,,,,,,,,,
51,Θερμοσιλικονη,,VIDA,ΕΞΩ Γ,-,127,22/12/25,,,,,,,,,
52,Βιδακια κατασκευων,,VIDA,ΕΓΩ Α,,0,24/11/25,,,,,,,,,
53,Χαρτοταινιες,,VIDA,ΕΞΩ Γ,-,0,24/11/25,,,,,,,,,
54,Ηχεια Δωματιων,,ΚΙΝΕΖΙΚΑ,,-,15,24/11/25,,,,,,,,,
55,Διακοπτες Legrand για Prison,,KAFKAS,,-,0,24/11/25,,,,,,,,,
56,Καναλια Ledtape,https://www.kafkas.gr/fotismos/tainies-led/profil-alouminiou-exartimata/appthelight-profil-alouminiou-p-2m-p-178-me-kalymma-opal_304189/,KAFKAS,,-,145,12/2/25,https://www.kafkas.gr/fotismos/tainies-led/profil-alouminiou-exartimata/colorsled-profil-alouminiou-p-2m-eco-me-kalymma-opal_310094/,,,,,,,,
57,Καλωδιο Ηχειου Μαυροκοκκινο,,KAFKAS,,,4,24/11/25,,,,,,,,,
